request_id,workflow,label,run_slug,endpoint_name,endpoint_type,started_at,ended_at,elapsed_seconds,outcome,status_code,error_type,retry_count,query_summary
1,pilot_day,region=west_coast;date=2026-04-04,comfortwx_pilot_day_openmeteo_20260404,openmeteo_forecast,forecast,2026-03-29T08:43:12,2026-03-29T08:43:13,0.803,success,200.0,,0,"start_date=2026-04-04; end_date=2026-04-04; latitude=29.0,29.0,29.0,29.0,29.0,29.0,29.0,31.5,31.5,31.5,31.5,31.5; longitude=-127.0,-124.5,-122.0,-119.5,-117.0,-114.5,-114.0,-127.0,-124.5,-122.0,-119.5,..."
2,pilot_day,region=west_coast;date=2026-04-04,comfortwx_pilot_day_openmeteo_20260404,openmeteo_forecast,forecast,2026-03-29T08:43:14,2026-03-29T08:43:14,0.789,success,200.0,,0,"start_date=2026-04-04; end_date=2026-04-04; latitude=31.5,31.5,34.0,34.0,34.0,34.0,34.0,34.0,34.0,36.5,36.5,36.5; longitude=-114.5,-114.0,-127.0,-124.5,-122.0,-119.5,-117.0,-114.5,-114.0,-127.0,-124.5,..."
3,pilot_day,region=west_coast;date=2026-04-04,comfortwx_pilot_day_openmeteo_20260404,openmeteo_forecast,forecast,2026-03-29T08:43:15,2026-03-29T08:43:15,0.798,success,200.0,,0,"start_date=2026-04-04; end_date=2026-04-04; latitude=36.5,36.5,36.5,36.5,39.0,39.0,39.0,39.0,39.0,39.0,39.0,41.5; longitude=-119.5,-117.0,-114.5,-114.0,-127.0,-124.5,-122.0,-119.5,-117.0,-114.5,-114.0,..."
4,pilot_day,region=west_coast;date=2026-04-04,comfortwx_pilot_day_openmeteo_20260404,openmeteo_forecast,forecast,2026-03-29T08:43:16,2026-03-29T08:43:17,0.777,success,200.0,,0,"start_date=2026-04-04; end_date=2026-04-04; latitude=41.5,41.5,41.5,41.5,41.5,41.5,44.0,44.0,44.0,44.0,44.0,44.0; longitude=-124.5,-122.0,-119.5,-117.0,-114.5,-114.0,-127.0,-124.5,-122.0,-119.5,-117.0,..."
5,pilot_day,region=west_coast;date=2026-04-04,comfortwx_pilot_day_openmeteo_20260404,openmeteo_forecast,forecast,2026-03-29T08:43:17,2026-03-29T08:43:18,0.807,success,200.0,,0,"start_date=2026-04-04; end_date=2026-04-04; latitude=44.0,46.5,46.5,46.5,46.5,46.5,46.5,46.5,49.0,49.0,49.0,49.0; longitude=-114.0,-127.0,-124.5,-122.0,-119.5,-117.0,-114.5,-114.0,-127.0,-124.5,-122.0,..."
6,pilot_day,region=west_coast;date=2026-04-04,comfortwx_pilot_day_openmeteo_20260404,openmeteo_forecast,forecast,2026-03-29T08:43:18,2026-03-29T08:43:19,0.8,success,200.0,,0,"start_date=2026-04-04; end_date=2026-04-04; latitude=49.0,49.0,49.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0; longitude=-117.0,-114.5,-114.0,-127.0,-124.5,-122.0,-119.5,-117.0,-114.5,-114.0"
7,pilot_day,region=southwest;date=2026-04-04,comfortwx_pilot_day_openmeteo_20260404,openmeteo_forecast,forecast,2026-03-29T08:43:20,2026-03-29T08:44:06,45.204,retrying,,timeout,0,"start_date=2026-04-04; end_date=2026-04-04; latitude=28.5,28.5,28.5,28.5,28.5,28.5,28.5,31.25,31.25,31.25,31.25,31.25; longitude=-120.5,-117.5,-114.5,-111.5,-108.5,-105.5,-104.5,-120.5,-117.5,-114.5,-111.5,..."
8,pilot_day,region=southwest;date=2026-04-04,comfortwx_pilot_day_openmeteo_20260404,openmeteo_forecast,forecast,2026-03-29T08:44:08,2026-03-29T08:44:08,0.792,success,200.0,,1,"start_date=2026-04-04; end_date=2026-04-04; latitude=28.5,28.5,28.5,28.5,28.5,28.5,28.5,31.25,31.25,31.25,31.25,31.25; longitude=-120.5,-117.5,-114.5,-111.5,-108.5,-105.5,-104.5,-120.5,-117.5,-114.5,-111.5,..."
9,pilot_day,region=southwest;date=2026-04-04,comfortwx_pilot_day_openmeteo_20260404,openmeteo_forecast,forecast,2026-03-29T08:44:09,2026-03-29T08:44:10,0.794,success,200.0,,0,"start_date=2026-04-04; end_date=2026-04-04; latitude=31.25,31.25,34.0,34.0,34.0,34.0,34.0,34.0,34.0,36.75,36.75,36.75; longitude=-105.5,-104.5,-120.5,-117.5,-114.5,-111.5,-108.5,-105.5,-104.5,-120.5,-117.5,..."
10,pilot_day,region=southwest;date=2026-04-04,comfortwx_pilot_day_openmeteo_20260404,openmeteo_forecast,forecast,2026-03-29T08:44:10,2026-03-29T08:44:11,0.795,success,200.0,,0,"start_date=2026-04-04; end_date=2026-04-04; latitude=36.75,36.75,36.75,36.75,39.5,39.5,39.5,39.5,39.5,39.5,39.5,42.25; longitude=-111.5,-108.5,-105.5,-104.5,-120.5,-117.5,-114.5,-111.5,-108.5,-105.5,-104.5,..."
11,pilot_day,region=southwest;date=2026-04-04,comfortwx_pilot_day_openmeteo_20260404,openmeteo_forecast,forecast,2026-03-29T08:44:11,2026-03-29T08:44:12,0.777,success,200.0,,0,"start_date=2026-04-04; end_date=2026-04-04; latitude=42.25,42.25,42.25,42.25,42.25,42.25,44.0,44.0,44.0,44.0,44.0,44.0; longitude=-117.5,-114.5,-111.5,-108.5,-105.5,-104.5,-120.5,-117.5,-114.5,-111.5,-108.5,..."
12,pilot_day,region=southwest;date=2026-04-04,comfortwx_pilot_day_openmeteo_20260404,openmeteo_forecast,forecast,2026-03-29T08:44:12,2026-03-29T08:44:13,0.635,success,200.0,,0,start_date=2026-04-04; end_date=2026-04-04; latitude=44.0; longitude=-104.5
13,pilot_day,region=rockies;date=2026-04-04,comfortwx_pilot_day_openmeteo_20260404,openmeteo_forecast,forecast,2026-03-29T08:44:14,2026-03-29T08:45:00,45.201,retrying,,timeout,0,"start_date=2026-04-04; end_date=2026-04-04; latitude=35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,37.5,37.5,37.5,37.5; longitude=-115.5,-113.0,-110.5,-108.0,-105.5,-103.0,-100.5,-100.0,-115.5,-113.0,-110.5,..."
14,pilot_day,region=rockies;date=2026-04-04,comfortwx_pilot_day_openmeteo_20260404,openmeteo_forecast,forecast,2026-03-29T08:45:02,2026-03-29T08:45:03,1.15,success,200.0,,1,"start_date=2026-04-04; end_date=2026-04-04; latitude=35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,37.5,37.5,37.5,37.5; longitude=-115.5,-113.0,-110.5,-108.0,-105.5,-103.0,-100.5,-100.0,-115.5,-113.0,-110.5,..."
15,pilot_day,region=rockies;date=2026-04-04,comfortwx_pilot_day_openmeteo_20260404,openmeteo_forecast,forecast,2026-03-29T08:45:03,2026-03-29T08:45:04,0.773,success,200.0,,0,"start_date=2026-04-04; end_date=2026-04-04; latitude=37.5,37.5,37.5,37.5,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0; longitude=-105.5,-103.0,-100.5,-100.0,-115.5,-113.0,-110.5,-108.0,-105.5,-103.0,-100.5,..."
16,pilot_day,region=rockies;date=2026-04-04,comfortwx_pilot_day_openmeteo_20260404,openmeteo_forecast,forecast,2026-03-29T08:45:04,2026-03-29T08:45:05,0.798,success,200.0,,0,"start_date=2026-04-04; end_date=2026-04-04; latitude=42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,45.0,45.0,45.0,45.0; longitude=-115.5,-113.0,-110.5,-108.0,-105.5,-103.0,-100.5,-100.0,-115.5,-113.0,-110.5,..."
